weekday;inscription;name;address
TERÇA-FEIRA;30244;MARANHAO TERÇA-FEIRA;RUA MATEUS GOMES, S/N,TATUAPE,SÃO PAULO
TERÇA-FEIRA;30520;VILA EMA TERÇA-FEIRA;RUA DR JOAO BIZARRO DA NAVE, S/N,VL EMA,SÃO PAULO
TERÇA-FEIRA;30732;CACHOEIRA TERÇA-FEIRA;RUA CAP MOR PASSOS, 225,PARI,SÃO PAULO
QUARTA-FEIRA;40037;CONCORDIA QUARTA-FEIRA;RUA SAMPSON, S/N,BRAS,SÃO PAULO
QUARTA-FEIRA;40045;MOOCA MODERNA QUARTA-FEIRA;RUA DOS TRILHOS, 869,MOOCA,SÃO PAULO
QUARTA-FEIRA;40053;CANINDE QUARTA-FEIRA;RUA VIDAL DE NEGREIROS, 76,CANINDE,SÃO PAULO
QUARTA-FEIRA;40100;MOOCA QUARTA-FEIRA;RUA MADRE DE DEUS, 604,MOOCA,SÃO PAULO
QUARTA-FEIRA;40207;UMUARAMA QUARTA-FEIRA;RUA MIN SALGADO FILHO, 485,VL ORATORIO,SÃO PAULO
QUARTA-FEIRA;40215;PRACA DAS ROSAS QUARTA-FEIRA;RUA LUIZA CANERO, 6,VL CANERO,SÃO PAULO
QUARTA-FEIRA;40223;RODRIGUES BARBOSA QUARTA-FEIRA;RUA SEBASTIAO BARBOSA, 333,TATUAPE,SÃO PAULO
QUARTA-FEIRA;40231;PRACA LUZITANIA QUARTA-FEIRA;RUA AIRI, 437,TATUAPE,SÃO PAULO
QUARTA-FEIRA;41106;VILA SAO CARLOS QUARTA-FEIRA;RUA ERNESTO GIULIANO, 23,VL SAO CARLOS,SÃO PAULO
QUINTA-FEIRA;50067;PAULO ANDREGUETTI QUINTA-FEIRA;RUA SILVA TELES, 1528,BELENZINHO,SÃO PAULO
QUINTA-FEIRA;50075;BELEM QUINTA-FEIRA;RUA IRMA CAROLINA, S/N,BELENZINHO,SÃO PAULO
QUINTA-FEIRA;50083;TRILHOS QUINTA-FEIRA;RUA PROF MACHADO TOLOSA, S/N,BELENZINHO,SÃO PAULO
QUINTA-FEIRA;50156;VILA BERTIOGA QUINTA-FEIRA;RUA FLORIANOPOLIS, S/N,ALTO DA MOOCA,SÃO PAULO
QUINTA-FEIRA;50164;VILA PRUDENTE QUINTA-FEIRA;RUA DOMINGOS DA FONSECA, 321,VL PRUDENTE,SÃO PAULO
QUINTA-FEIRA;50172;MAE DO CEU QUINTA-FEIRA;RUA VISCONDE DE ITABORAY, 233,TATUAPE,SÃO PAULO
QUINTA-FEIRA;50180;VILA ORATORIO QUINTA-FEIRA;RUA SILVA COUTINHO, S/N,VL PRUDENTE,SÃO PAULO
QUINTA-FEIRA;50296;ANTONIO DE BARROS QUINTA-FEIRA;RUA PLATINA, 815,TATUAPE,SÃO PAULO
SEXTA-FEIRA;60046;JULIO RIBEIRO SEXTA-FEIRA;RUA HENRIQUE DIAS, S/N,BRAZ,SÃO PAULO
SEXTA-FEIRA;60186;PANTOJO SEXTA-FEIRA;RUA BOM JESUS, S/N,ALTO DA MOOCA,SÃO PAULO
SEXTA-FEIRA;60194;MARIA CANDIDA SEXTA-FEIRA;RUA ANTONIO CAMARDO, 1625,TATUAPE,SÃO PAULO
SEXTA-FEIRA;60275;SAO JORGE SEXTA-FEIRA;RUA SANTA CATARINA, 284,TATUAPE,SÃO PAULO
